学年,学期,课程名称,成绩,绩点,学分
"2024-2025","秋冬","体育Ⅶ--体测与锻炼",75,3,0.5
"2024-2025","秋冬","工程实践",98,5,3.0
"2024-2025","秋冬","英语水平测试",75,3,1.0
"2024-2025","春夏","形势与政策Ⅱ",75,3,1.0
"2024-2025","春夏","毕业论文（设计）",94,4.8,8.0
"2023-2024","秋冬","Java应用技术",86,4.2,2.5
"2023-2024","秋冬","操作系统",96,5,5.0
"2023-2024","秋冬","智能视觉信息采集",97,5,2.5
"2023-2024","秋冬","毛泽东思想和中国特色社会主义理论体系概论",87,4.2,3.0
"2023-2024","秋冬","羽毛球(初级班）",85,3.9,1.0
"2023-2024","秋冬","计算机体系结构",97,5,3.5
"2023-2024","秋冬","计算机网络",97,5,4.5
"2023-2024","秋冬","计算理论",94,4.8,2.0
"2023-2024","秋冬","课程综合实践Ⅱ",99,5,2.5
"2023-2024","春夏","习近平新时代中国特色社会主义思想概论",89,4.5,3.0
"2023-2024","春夏","人工智能",92,4.8,3.5
"2023-2024","春夏","编译原理",92,4.8,4.0
"2023-2024","春夏","自动化导论",88,4.2,1.0
"2023-2024","春夏","计算机科学思想史",94,4.8,2.0
"2023-2024","春夏","足球(初级班）",82,3.6,1.0
"2023-2024","春夏","软件工程",92,4.8,2.5
"2022-2023","秋冬","公开水域安全与救援（初级）",89,4.5,1.0
"2022-2023","秋冬","军事理论",87,4.2,2.0
"2022-2023","秋冬","大学物理实验",87,4.2,1.5
"2022-2023","秋冬","大学物理（乙）Ⅱ",90,4.5,3.0
"2022-2023","秋冬","数值分析",100,5,2.5
"2022-2023","秋冬","数字逻辑设计",93,4.8,4.0
"2022-2023","秋冬","数据结构基础",99,5,2.5
"2022-2023","秋冬","无线网络应用",90,4.5,1.5
"2022-2023","秋冬","概率论与数理统计",99,5,2.5
"2022-2023","秋冬","茶文化与茶健康",90,4.5,3.0
"2022-2023","秋冬","计算机系统概论",95,5,4.0
"2022-2023","秋冬","软件保护技术",98,5,2.5
"2022-2023","秋冬","马克思主义基本原理",90,4.5,3.0
"2022-2023","春夏","技术沟通",95,5,2.0
"2022-2023","春夏","数值代数",85,3.9,3.0
"2022-2023","春夏","数据库系统",92,4.8,4.0
"2022-2023","春夏","普通体育课",75,3,1.0
"2022-2023","春夏","虚拟现实与数字娱乐",97,5,2.0
"2022-2023","春夏","计算机图形学研究进展",99,5,4.0
"2022-2023","春夏","计算机组成",95,5,4.5
"2022-2023","春夏","高级数据结构与算法分析",93,4.8,4.0
"2021-2022","秋冬","C程序设计基础",92,4.8,3.0
"2021-2022","秋冬","军训",86,4.2,2.0
"2021-2022","秋冬","博弈论基础",78,3.3,1.5
"2021-2022","秋冬","大学英语Ⅲ",88,4.2,3.0
"2021-2022","秋冬","微积分（甲）Ⅰ",91,4.5,5.0
"2021-2022","秋冬","思想道德与法治",92,4.8,3.0
"2021-2022","秋冬","汇编语言程序设计基础",92,4.8,2.0
"2021-2022","秋冬","游泳(初级班）",86,4.2,1.0
"2021-2022","秋冬","现代休闲与观光农业",95,5,1.5
"2021-2022","秋冬","电工电子工程训练",80,3.5,1.5
"2021-2022","秋冬","社会主义发展史",87,4.2,1.5
"2021-2022","秋冬","线性代数（甲）",92,4.8,3.5
"2021-2022","春夏","中国近现代史纲要",89,4.5,3.0
"2021-2022","春夏","创业基础",84,3.9,1.5
"2021-2022","春夏","大学物理（乙）Ⅰ",90,4.5,3.0
"2021-2022","春夏","大学英语Ⅳ",90,4.5,3.0
"2021-2022","春夏","建筑与艺术",90,4.5,1.5
"2021-2022","春夏","形势与政策Ⅰ",91,4.5,1.0
"2021-2022","春夏","微积分（甲）Ⅱ",94,4.8,5.0
"2021-2022","春夏","普通体育课",86,4.2,1.0
"2021-2022","春夏","离散数学及其应用",93,4.8,4.0
"2021-2022","春夏","程序设计专题",94,4.8,2.0
"2021-2022","春夏","面向对象程序设计",93,4.8,2.5
