学年,学期,课程名称,成绩,绩点,学分
"2024-2025","秋冬","工程实践",98,5,3.0
"2024-2025","春夏","毕业论文（设计）",94,4.8,8.0
"2023-2024","秋冬","Java应用技术",86,4.2,2.5
"2023-2024","秋冬","操作系统",96,5,5.0
"2023-2024","秋冬","智能视觉信息采集",97,5,2.5
"2023-2024","秋冬","计算机体系结构",97,5,3.5
"2023-2024","秋冬","计算机网络",97,5,4.5
"2023-2024","秋冬","计算理论",94,4.8,2.0
"2023-2024","秋冬","课程综合实践Ⅱ",99,5,2.5
"2023-2024","春夏","人工智能",92,4.8,3.5
"2023-2024","春夏","编译原理",92,4.8,4.0
"2023-2024","春夏","计算机科学思想史",94,4.8,2.0
"2023-2024","春夏","软件工程",92,4.8,2.5
"2022-2023","秋冬","数值分析",100,5,2.5
"2022-2023","秋冬","数字逻辑设计",93,4.8,4.0
"2022-2023","秋冬","数据结构基础",99,5,2.5
"2022-2023","秋冬","计算机系统概论",95,5,4.0
"2022-2023","秋冬","软件保护技术",98,5,2.5
"2022-2023","春夏","数据库系统",92,4.8,4.0
"2022-2023","春夏","虚拟现实与数字娱乐",97,5,2.0
"2022-2023","春夏","计算机图形学研究进展",99,5,4.0
"2022-2023","春夏","计算机组成",95,5,4.5
"2022-2023","春夏","高级数据结构与算法分析",93,4.8,4.0
"2021-2022","秋冬","C程序设计基础",92,4.8,3.0
"2021-2022","秋冬","汇编语言程序设计基础",92,4.8,2.0
"2021-2022","春夏","离散数学及其应用",93,4.8,4.0
"2021-2022","春夏","程序设计专题",94,4.8,2.0
"2021-2022","春夏","面向对象程序设计",93,4.8,2.5
